screen,mode,fps,flush_avg_us,flush_peak_us,refresh_us,first_frame_us,build_us,lvgl_peak_us,core0_idle_pct,core1_idle_pct,loop_peak_us,deltas_s,parsed_s,parse_avg_us,store_size,store_lookups_s,ws_frames_s,ws_bytes_s,subscriptions,heap_lowwate
dashboard,typed,4.0,2355,3685,2647,447222,0,154724,-1,-1,154786.0,20.0,20,709,18.0,0,20,4587,28,29,30,2552,43.0
wind,typed,7.5,1030,1513,5125,111882,46025,1504182,-1,-1,1504261.0,20.0,20,790,18.0,0,20,4587,28,29,30,2552,43.7
wind_classic,typed,7.2,1375,2894,2402,327842,69272,2396141,-1,-1,2396278.0,20.0,20,746,18.0,0,20,4588,28,29,30,2552,43.7
wind_steer,typed,13.2,2290,3406,7263,188503,94489,846098,-1,-1,846231.0,20.5,20,768,18.0,0,20,4704,28,29,30,2488,44.2
nav,typed,6.0,2123,2706,1766,72210,45228,302536,-1,-1,302634.0,18.2,18,745,18.0,0,19,4222,22,29,30,2488,43.5
depth,typed,0.0,0,0,284,41092,33571,151456,-1,-1,151545.0,1.2,1,167,18.0,0,2,379,6,29,30,2488,42.7
steering,typed,0.0,0,0,666,52722,45211,178539,-1,-1,178641.0,2.2,2,344,18.0,0,3,524,6,29,30,2488,43.2
route,typed,0.0,0,0,175,44835,34096,157065,-1,-1,157176.0,0.8,1,155,18.0,0,1,272,7,29,29,2488,42.7
autopilot,typed,9.8,2326,5505,4896,272973,106835,901245,-1,-1,901320.0,23.0,23,895,18.0,0,23,5266,28,27,27,2488,43.7
trip,typed,2.0,746,854,573,37656,16023,159776,-1,-1,159849.0,20.0,20,688,18.0,0,20,4589,28,27,27,2488,43.0
status,typed,5.5,538,946,1550,50304,23009,206872,-1,-1,206947.0,20.0,20,691,18.0,0,20,4587,28,27,27,2488,44.0
dashboard,store,4.0,2408,3546,843,5583,0,224831,-1,-1,224941.0,20.0,20,719,18.0,20,20,4588,28,27,27,2488,44.0
wind,store,7.5,950,1477,5894,100623,46025,1460156,-1,-1,1460290.0,20.0,20,741,18.0,0,20,4587,28,27,27,2488,44.2
wind_classic,store,7.5,1265,3595,2892,106355,69272,2155231,-1,-1,2155362.0,20.0,20,799,18.0,0,20,4588,28,27,27,2488,44.5
wind_steer,store,12.8,2430,3986,6032,11898,94489,821330,-1,-1,821412.0,19.2,19,848,18.0,0,19,4418,28,27,27,2488,44.7
nav,store,6.0,2200,3943,1885,5494,45228,239863,-1,-1,239932.0,16.5,16,684,18.0,25,17,3816,22,27,27,2488,44.7
depth,store,0.0,0,0,357,4315,33571,115073,-1,-1,115148.0,1.2,1,161,18.0,20,2,379,6,27,26,2488,43.5
steering,store,0.0,0,0,712,4851,45211,223454,-1,-1,223546.0,2.2,2,486,18.0,25,3,524,6,27,22,2488,43.5
route,store,0.0,0,0,231,4382,34096,112199,-1,-1,112267.0,0.8,1,264,18.0,20,1,272,7,27,22,2488,43.0
autopilot,store,8.5,1763,3228,3267,11179,106835,639891,-1,-1,639966.0,22.0,22,894,18.0,0,22,5046,28,25,27,2488,44.2
trip,store,1.8,828,1084,555,6613,16023,113799,-1,-1,113874.0,20.0,20,676,18.0,0,20,4606,28,25,27,2488,43.0
status,store,3.8,583,1181,1147,7786,23009,148879,-1,-1,148953.0,20.0,20,669,18.0,0,20,4606,28,25,27,2488,43.5
