start: 11 screens x 2 modes, 4 s dwell (tick 1 discarded)
screen,mode,fps,flush_avg_us,flush_peak_us,refresh_us,lvgl_peak_us,core0_idle_pct,core1_idle_pct,loop_peak_us,deltas_s,parsed_s,parse_avg_us,store_size,store_lookups_s,ws_frames_s,ws_bytes_s,subscriptions,heap_lowwater_kb,largest_block_kb,mi
dashboard,typed,4.0,2284,3694,820,129367,-1,-1,129436,19.0,19.0,701,17,0.0,19,4354,28,52,54,3032,44.7
wind,typed,6.2,1124,2436,650,836304,-1,-1,836380,20.5,20.5,854,17,0.0,20,4696,28,52,54,3032,44.7
wind_classic,typed,7.0,1217,3104,3288,1737687,-1,-1,1737765,19.5,19.5,858,17,0.0,20,4465,28,52,54,3032,46.0
wind_steer,typed,16.2,700,2937,16508,777681,-1,-1,777754,19.0,19.0,816,17,0.0,19,4354,28,52,54,2488,45.7
nav,typed,7.0,1921,3366,1370,207169,-1,-1,207236,19.5,19.5,734,17,0.0,20,4464,28,52,54,2488,44.7
depth,typed,0.0,0,0,374,150156,-1,-1,150227,19.5,19.5,673,17,0.0,20,4464,28,52,52,2488,44.7
steering,typed,0.0,0,0,565,168988,-1,-1,169132,19.0,19.0,631,17,0.0,19,4354,28,52,52,2488,45.0
route,typed,0.0,0,0,174,148292,-1,-1,148352,19.0,19.0,619,17,0.0,19,4354,28,52,52,2488,45.0
autopilot,typed,4.0,1264,3427,676,720361,-1,-1,726535,19.0,19.0,719,17,0.0,19,4357,28,52,52,2488,45.2
trip,typed,2.2,768,1076,498,139477,-1,-1,139555,19.0,19.0,647,17,0.0,19,4354,28,52,52,2488,45.0
status,typed,5.5,461,741,1819,181493,-1,-1,181601,19.0,19.0,775,17,0.0,19,4355,28,52,52,2488,45.2
dashboard,store,4.0,2038,3216,765,163747,-1,-1,163819,19.0,19.0,714,17,20.0,19,4354,28,52,52,2488,44.7
wind,store,5.2,1178,2746,677,915262,-1,-1,915334,19.0,19.0,720,17,0.0,19,4356,28,52,52,2488,45.0
wind_classic,store,7.0,1570,3735,4654,1533539,-1,-1,1533636,20.2,20.2,781,17,0.0,20,4636,28,52,52,2488,46.0
wind_steer,store,17.2,605,3022,14380,579583,-1,-1,579657,19.0,19.0,699,17,0.0,19,4356,28,52,52,2488,45.7
nav,store,7.0,1806,2744,1320,173767,-1,-1,173839,19.0,19.0,687,17,20.0,19,4354,28,52,52,2488,45.2
depth,store,0.0,0,0,558,131453,-1,-1,131588,19.0,19.0,661,17,19.0,19,4355,28,52,52,2488,45.7
steering,store,0.0,0,0,655,177200,-1,-1,177271,19.0,19.0,697,17,23.8,19,4356,28,52,52,2488,45.7
route,store,0.0,0,0,222,126681,-1,-1,126754,19.0,19.0,708,17,20.0,19,4353,28,52,52,2488,45.7
autopilot,store,4.0,1258,3539,662,513916,-1,-1,513983,19.0,19.0,807,17,0.0,19,4354,28,52,52,2488,46.0
trip,store,2.2,778,1008,518,120162,-1,-1,120222,19.0,19.0,745,17,0.0,19,4353,28,52,52,2488,46.0
status,store,8.8,444,725,1822,150320,-1,-1,150393,17.0,17.0,692,17,0.0,17,3900,28,52,52,2488,45.7
complete
